Cosponsor,Date Cosponsored,bill,bill_name,congress,bio_url
"Rep. Boyle, Brendan F. [D-PA-13]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/brendan-boyle/B001296
"Rep. Velazquez, Nydia M. [D-NY-7]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/nydia-velazquez/V000081
"Rep. Slaughter, Louise McIntosh [D-NY-25]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/louise-slaughter/S000480
"Rep. O'Halleran, Tom [D-AZ-1]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/tom-o-halleran/O000171
"Rep. Clarke, Yvette D. [D-NY-9]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/yvette-clarke/C001067
"Rep. McCollum, Betty [D-MN-4]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/betty-mccollum/M001143
"Del. Norton, Eleanor Holmes [D-DC-At Large]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/eleanor-norton/N000147
"Rep. Watson Coleman, Bonnie [D-NJ-12]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/bonnie-watson-coleman/W000822
"Rep. Payne, Donald M., Jr. [D-NJ-10]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/donald-payne/P000604
"Rep. Rice, Kathleen M. [D-NY-4]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/kathleen-rice/R000602
"Rep. Hastings, Alcee L. [D-FL-20]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/alcee-hastings/H000324
"Rep. Speier, Jackie [D-CA-14]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/jackie-speier/S001175
"Rep. Langevin, James R. [D-RI-2]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/james-langevin/L000559
"Rep. Frankel, Lois [D-FL-21]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/lois-frankel/F000462
"Rep. Cicilline, David N. [D-RI-1]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/david-cicilline/C001084
"Rep. Maloney, Carolyn B. [D-NY-12]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/carolyn-maloney/M000087
"Rep. Engel, Eliot L. [D-NY-16]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/eliot-engel/E000179
"Rep. Wasserman Schultz, Debbie [D-FL-23]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/debbie-wasserman-schultz/W000797
"Rep. Napolitano, Grace F. [D-CA-32]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/grace-napolitano/N000179
"Rep. Adams, Alma S. [D-NC-12]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/alma-adams/A000370
"Rep. Shea-Porter, Carol [D-NH-1]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/carol-shea-porter/S001170
"Rep. Moore, Gwen [D-WI-4]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/gwen-moore/M001160
"Rep. Jackson Lee, Sheila [D-TX-18]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/sheila-jackson-lee/J000032
"Rep. Dingell, Debbie [D-MI-12]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/debbie-dingell/D000624
"Rep. Tsongas, Niki [D-MA-3]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/niki-tsongas/T000465
"Rep. DeFazio, Peter A. [D-OR-4]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/peter-defazio/D000191
"Rep. Rosen, Jacky [D-NV-3]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/jacklyn-rosen/R000608
"Rep. Torres, Norma J. [D-CA-35]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/norma-torres/T000474
"Rep. Thompson, Mike [D-CA-5]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/mike-thompson/T000460
"Rep. Pocan, Mark [D-WI-2]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/mark-pocan/P000607
"Rep. Higgins, Brian [D-NY-26]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/brian-higgins/H001038
"Rep. Schakowsky, Janice D. [D-IL-9]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/janice-schakowsky/S001145
"Rep. Blumenauer, Earl [D-OR-3]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/earl-blumenauer/B000574
"Rep. DelBene, Suzan K. [D-WA-1]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/suzan-delbene/D000617
"Rep. Bonamici, Suzanne [D-OR-1]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/suzanne-bonamici/B001278
"Rep. Raskin, Jamie [D-MD-8]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/jamie-raskin/R000606
"Rep. Norcross, Donald [D-NJ-1]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/donald-norcross/N000188
"Rep. Cardenas, Tony [D-CA-29]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/tony-cardenas/C001097
"Rep. Carbajal, Salud O. [D-CA-24]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/salud-carbajal/C001112
"Rep. Smith, Adam [D-WA-9]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/adam-smith/S000510
"Rep. Demings, Val Butler [D-FL-10]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/val-demings/D000627
"Rep. Lynch, Stephen F. [D-MA-8]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/stephen-lynch/L000562
"Rep. Khanna, Ro [D-CA-17]*",4/4/2017,H.R.1869,Paycheck Fairness Act,115,https://www.congress.gov/member/ro-khanna/K000389
