congress,id,aauw_support_voting,aauw_support_all
102,A000014,100,100
102,A000022,100,83
102,A000103,100,100
102,A000109,0,0
102,A000121,33,33
102,A000189,100,100
102,A000209,100,100
102,A000210,100,100
102,A000211,100,100
102,A000212,17,17
102,A000213,100,67
102,A000214,33,33
102,A000215,0,0
102,A000217,0,0
102,A000224,80,67
102,A000226,100,100
102,A000337,100,100
102,B000008,100,100
102,B000072,0,0
102,B000104,17,17
102,B000153,0,0
102,B000179,0,0
102,B000213,0,0
102,B000229,0,0
102,B000318,100,100
102,B000371,50,50
102,B000392,20,17
102,B000403,17,17
102,B000410,100,100
102,B000431,50,50
102,B000462,50,50
102,B000463,0,0
102,B000517,100,100
102,B000556,0,0
102,B000586,100,100
102,B000589,0,0
102,B000619,67,67
102,B000644,33,33
102,B000657,100,100
102,B000711,100,100
102,B000817,83,83
102,B000880,100,100
102,B000890,0,0
102,B000897,50,50
102,B000918,100,100
102,B000971,50,50
102,B000997,100,100
102,B001066,0,0
102,B001149,0,0
102,B001172,100,83
102,B001220,33,33
102,C000052,0,0
102,C000071,0,0
102,C000077,100,83
102,C000100,100,83
102,C000141,100,100
102,C000174,100,100
102,C000178,83,83
102,C000293,50,50
102,C000312,83,83
102,C000488,100,100
102,C000503,83,83
102,C000523,17,17
102,C000556,0,0
102,C000618,17,17
102,C000621,100,100
102,C000633,100,83
102,C000634,100,100
102,C000653,0,0
102,C000670,100,100
102,C000714,100,100
102,C000754,83,83
102,C000794,33,33
102,C000807,83,83
102,C000830,0,0
102,C000836,100,100
102,C000846,100,100
102,C000868,83,83
102,C000873,0,0
102,C000994,0,0
102,D000044,0,0
102,D000051,67,67
102,D000131,50,33
102,D000191,100,100
102,D000203,33,33
102,D000216,100,83
102,D000217,0,0
102,D000222,100,100
102,D000267,83,83
102,D000326,67,67
102,D000327,100,83
102,D000355,100,83
102,D000373,100,100
102,D000416,33,33
102,D000424,100,83
102,D000429,0,0
102,D000432,67,67
102,D000435,0,0
102,D000471,100,100
102,D000492,0,0
102,D000533,0,0
102,D000563,100,100
102,D000586,100,100
102,D000592,100,67
102,E000013,50,50
102,E000031,100,100
102,E000063,83,83
102,E000064,100,100
102,E000077,0,0
102,E000174,0,0
102,E000179,100,100
102,E000184,50,50
102,E000201,100,100
102,E000218,100,100
102,E000250,100,100
102,E000282,0,0
102,F000041,100,100
102,F000049,67,67
102,F000053,100,100
102,F000059,100,83
102,F000111,0,0
102,F000141,83,83
102,F000184,100,100
102,F000235,100,100
102,F000239,100,100
102,F000261,100,100
102,F000270,100,100
102,F000339,100,100
102,F000348,67,67
102,F000392,100,100
102,G000021,0,0
102,G000025,67,67
102,G000105,50,33
102,G000120,100,100
102,G000121,33,33
102,G000132,100,100
102,G000134,83,83
102,G000153,100,83
102,G000180,67,67
102,G000210,17,17
102,G000212,100,100
102,G000225,0,0
102,G000240,83,83
102,G000272,100,100
102,G000291,0,0
102,G000309,100,100
102,G000336,0,0
102,G000349,17,17
102,G000371,0,0
102,G000402,100,100
102,G000417,100,100
102,G000511,100,100
102,G000524,17,17
102,H000067,0,0
102,H000074,33,33
102,H000114,83,83
102,H000124,0,0
102,H000151,0,0
102,H000172,0,0
102,H000236,33,33
102,H000323,0,0
102,H000340,100,67
102,H000388,100,100
102,H000390,0,0
102,H000444,0,0
102,H000448,100,83
102,H000514,17,17
102,H000528,0,0
102,H000547,67,67
102,H000652,100,100
102,H000666,67,67
102,H000670,83,83
102,H000729,0,0
102,H000776,0,0
102,H000788,100,100
102,H000797,100,100
102,H000814,83,83
102,H000874,100,100
102,H000878,100,83
102,H000901,17,17
102,H000930,100,100
102,H000981,0,0
102,H001018,0,0
102,H001022,17,17
102,I000024,0,0
102,I000029,0,0
102,J000033,100,100
102,J000047,17,17
102,J000070,100,100
102,J000083,67,67
102,J000163,83,83
102,J000174,0,0
102,J000177,100,100
102,J000187,100,100
102,J000211,80,67
102,J000256,100,100
102,J000265,100,100
102,K000008,33,33
102,K000009,83,83
102,K000016,0,0
102,K000110,100,100
102,K000118,100,100
102,K000172,33,33
102,K000259,83,83
102,K000274,100,100
102,K000306,67,67
102,K000307,50,33
102,K000312,100,100
102,K000319,100,100
102,K000352,0,0
102,L000020,0,0
102,L000045,83,83
102,L000090,100,100
102,L000098,83,83
102,L000119,33,33
102,L000169,100,100
102,L000225,100,83
102,L000226,100,100
102,L000243,0,0
102,L000263,100,100
102,L000264,100,83
102,L000274,17,17
102,L000287,100,100
102,L000295,0,0
102,L000305,0,0
102,L000342,17,17
102,L000371,0,0
102,L000381,80,67
102,L000420,100,100
102,L000479,0,0
102,L000480,100,100
102,L000507,17,17
102,L000556,33,33
102,M000015,100,100
102,M000117,33,33
102,M000133,100,100
102,M000139,0,0
102,M000174,50,33
102,M000206,100,100
102,M000249,100,100
102,M000264,33,33
102,M000291,33,33
102,M000306,50,50
102,M000342,100,100
102,M000350,0,0
102,M000388,0,0
102,M000398,100,100
102,M000399,20,17
102,M000404,100,100
102,M000432,0,0
102,M000458,17,17
102,M000473,100,100
102,M000566,17,17
102,M000573,100,100
102,M000590,67,67
102,M000684,67,67
102,M000687,100,100
102,M000692,0,0
102,M000718,0,0
102,M000725,100,100
102,M000736,83,83
102,M000794,100,100
102,M000797,100,100
102,M000834,50,50
102,M000843,83,83
102,M000844,33,33
102,M000865,0,0
102,M000881,100,100
102,M000926,0,0
102,M000933,100,100
102,M000941,100,100
102,M000999,83,83
102,M001057,100,100
102,M001088,50,50
102,M001120,33,33
102,M001130,0,0
102,N000003,100,100
102,N000009,50,50
102,N000015,50,50
102,N000016,83,83
102,N000094,60,50
102,N000163,33,33
