congress,id,aauw_support_voting,aauw_support_all
102,A000014,100,100
102,A000022,100,80
102,A000103,100,100
102,A000109,0,0
102,A000121,50,50
102,A000189,100,100
102,A000209,100,100
102,A000210,100,100
102,A000211,100,100
102,A000212,0,0
102,A000213,100,60
102,A000214,20,20
102,A000215,0,0
102,A000217,0,0
102,A000224,100,80
102,A000226,100,100
102,A000337,100,100
102,B000008,100,100
102,B000072,0,0
102,B000104,20,20
102,B000153,0,0
102,B000179,0,0
102,B000213,0,0
102,B000229,0,0
102,B000318,100,100
102,B000371,40,40
102,B000392,25,20
102,B000403,20,20
102,B000410,100,100
102,B000431,40,40
102,B000462,40,40
102,B000463,0,0
102,B000517,100,100
102,B000556,0,0
102,B000586,100,100
102,B000589,0,0
102,B000619,60,60
102,B000644,20,20
102,B000657,100,100
102,B000711,100,100
102,B000817,100,100
102,B000880,100,100
102,B000890,0,0
102,B000897,60,60
102,B000918,100,100
102,B000971,40,40
102,B000997,100,100
102,B001066,0,0
102,B001149,0,0
102,B001172,100,80
102,B001220,40,40
102,C000052,0,0
102,C000071,0,0
102,C000077,100,80
102,C000100,100,80
102,C000141,100,100
102,C000174,100,100
102,C000178,100,100
102,C000293,60,60
102,C000312,80,80
102,C000488,100,100
102,C000503,80,80
102,C000523,20,20
102,C000556,0,0
102,C000618,20,20
102,C000621,100,100
102,C000633,100,80
102,C000634,100,100
102,C000653,0,0
102,C000670,100,100
102,C000714,100,100
102,C000754,100,100
102,C000794,20,20
102,C000807,80,80
102,C000830,0,0
102,C000836,100,100
102,C000846,100,100
102,C000868,100,100
102,C000873,0,0
102,C000994,0,0
102,D000044,0,0
102,D000051,80,80
102,D000131,33,20
102,D000191,100,100
102,D000203,20,20
102,D000216,100,80
102,D000217,0,0
102,D000222,100,100
102,D000267,100,100
102,D000326,80,80
102,D000327,100,100
102,D000355,100,80
102,D000373,100,100
102,D000416,20,20
102,D000424,100,80
102,D000429,0,0
102,D000432,60,60
102,D000435,0,0
102,D000471,100,100
102,D000492,0,0
102,D000533,0,0
102,D000563,100,100
102,D000586,100,100
102,D000592,100,60
102,E000013,40,40
102,E000031,100,100
102,E000063,100,100
102,E000064,100,100
102,E000077,0,0
102,E000174,0,0
102,E000179,100,100
102,E000184,40,40
102,E000201,100,100
102,E000218,100,100
102,E000250,100,100
102,E000282,0,0
102,F000041,100,100
102,F000049,80,80
102,F000053,100,100
102,F000059,100,80
102,F000111,0,0
102,F000141,80,80
102,F000184,100,100
102,F000235,100,100
102,F000239,100,100
102,F000261,100,100
102,F000270,100,100
102,F000339,100,100
102,F000348,80,80
102,F000392,100,100
102,G000021,0,0
102,G000025,80,80
102,G000105,33,20
102,G000120,100,100
102,G000121,40,40
102,G000132,100,100
102,G000134,100,100
102,G000153,100,80
102,G000180,80,80
102,G000210,0,0
102,G000212,100,100
102,G000225,0,0
102,G000240,100,100
102,G000272,100,100
102,G000291,0,0
102,G000309,100,100
102,G000336,0,0
102,G000349,20,20
102,G000371,0,0
102,G000402,100,100
102,G000417,100,100
102,G000511,100,100
102,G000524,20,20
102,H000067,0,0
102,H000074,20,20
102,H000114,100,100
102,H000124,0,0
102,H000151,0,0
102,H000172,0,0
102,H000236,40,40
102,H000323,0,0
102,H000340,100,80
102,H000388,100,100
102,H000390,0,0
102,H000444,0,0
102,H000448,100,80
102,H000514,20,20
102,H000528,0,0
102,H000547,60,60
102,H000652,100,100
102,H000666,80,80
102,H000670,80,80
102,H000729,0,0
102,H000776,0,0
102,H000788,100,100
102,H000797,100,100
102,H000814,100,100
102,H000874,100,100
102,H000878,100,80
102,H000901,20,20
102,H000930,100,100
102,H000981,0,0
102,H001018,0,0
102,H001022,0,0
102,I000024,0,0
102,I000029,0,0
102,J000033,100,100
102,J000047,0,0
102,J000070,100,100
102,J000083,60,60
102,J000163,80,80
102,J000174,0,0
102,J000177,100,100
102,J000187,100,100
102,J000211,100,80
102,J000256,100,100
102,J000265,100,100
102,K000008,20,20
102,K000009,80,80
102,K000016,0,0
102,K000110,100,100
102,K000118,100,100
102,K000172,20,20
102,K000259,80,80
102,K000274,100,100
102,K000306,80,80
102,K000307,33,20
102,K000312,100,100
102,K000319,100,100
102,K000352,0,0
102,L000020,0,0
102,L000045,100,100
102,L000090,100,100
102,L000098,100,100
102,L000119,40,40
102,L000169,100,100
102,L000225,100,80
102,L000226,100,100
102,L000243,0,0
102,L000263,100,100
102,L000264,100,80
