ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
20301,114,R,AL,3,ROGERS,Mike Dennis,3,1,2,0,22
21192,114,R,AL,2,ROBY,Martha,2,1,1,1,22
21376,114,R,AL,1,BYRNE,Bradley,4,2,2,0,22
21500,114,R,AL,6,PALMER,Gary James,3,2,1,0,22
29701,114,R,AL,4,ADERHOLT,Robert,2,1,1,0,22
14066,114,R,AK,1,YOUNG,Donald Edwin,2,2,0,0,22
20304,114,R,AZ,8,FRANKS,Trent,2,1,1,0,22
20305,114,D,AZ,3,GRIJALVA,Raul M.,3,3,0,0,100
21103,114,R,AZ,4,GOSAR,Paul,3,2,1,0,22
21106,114,R,AR,1,CRAWFORD,Rick,2,1,1,0,29
21108,114,R,AR,3,WOMACK,Steve,3,0,3,0,22
15448,114,D,CA,12,PELOSI,Nancy,5,4,1,1,89
20103,114,D,CA,17,HONDA,Mike,2,1,1,0,100
20104,114,D,CA,28,SCHIFF,Adam,2,1,1,0,89
20107,114,R,CA,49,ISSA,Darrell,1,0,1,0,29
20108,114,D,CA,53,DAVIS,Susan A.,2,0,2,1,100
20538,114,D,CA,6,MATSUI,Doris,1,0,1,0,100
20702,114,D,CA,9,McNERNEY,Jerry,3,1,2,0,89
20703,114,R,CA,23,MCCARTHY,Kevin,2,1,1,0,22
20762,114,D,CA,14,SPEIER,Karen Lorraine Jacqueline (Jackie),2,1,1,1,100
20963,114,R,CA,50,HUNTER,Duncan Duane,3,2,1,0,22
21110,114,D,CA,37,BASS,Karen,5,3,2,1,89
21195,114,D,CA,44,HAHN,Janice,3,1,2,1,89
21304,114,D,CA,7,BERA,Ami,1,1,0,0,78
21307,114,R,CA,21,VALADAO,David G.,3,1,2,0,22
21308,114,D,CA,26,BROWNLEY,Julia,2,1,1,1,100
21309,114,D,CA,29,CARDENAS,Antonio,4,2,2,0,78
21314,114,D,CA,51,VARGAS,Juan,2,2,0,0,100
21504,114,D,CA,11,DESAULNIER,Mark James,2,0,2,0,100
21506,114,D,CA,31,AGUILAR,Peter Rey,2,0,2,0,89
21507,114,D,CA,33,LIEU,Ted,2,0,2,0,100
21509,114,R,CA,45,WALTERS,Mimi,4,2,2,1,22
29106,114,D,CA,43,WATERS,Maxine,2,1,1,1,78
29313,114,D,CA,20,FARR,Sam,1,1,0,0,89
29316,114,D,CA,34,BECERRA,Xavier,3,3,0,0,89
29317,114,D,CA,40,ROYBAL-ALLARD,Lucille,2,1,1,1,100
29504,114,D,CA,19,LOFGREN,Zoe,2,1,1,1,100
29774,114,D,CA,24,CAPPS,Lois,3,2,1,1,100
29901,114,D,CA,5,THOMPSON,Michael,2,0,2,0,88
29903,114,D,CA,32,"NAPOLITANO, Grace Flores",,5,2,3,1,100
21111,114,R,CO,3,TIPTON,Scott,2,2,0,0,22
20706,114,D,CT,2,COURTNEY,Joe,2,1,1,0,89
20907,114,D,CT,4,HIMES,James A.,2,2,0,0,89
29109,114,D,CT,3,DeLAURO,Rosa L.,3,2,1,1,100
29908,114,D,CT,1,LARSON,John B.,3,2,1,0,89
21113,114,D,DE,1,CARNEY,"John C., Jr.",2,0,2,0,89
20110,114,R,FL,1,MILLER,Jeff,2,0,2,0,33
20111,114,R,FL,4,CRENSHAW,Ander,2,1,1,0,22
20504,114,D,FL,23,WASSERMAN SCHULTZ,Debbie,3,2,1,1,100
20709,114,R,FL,16,BUCHANAN,Vernon G.,2,0,2,0,22
20758,114,R,FL,12,BILIRAKIS,Gus,4,0,4,0,22
20908,114,D,FL,9,GRAYSON,Alan,5,3,2,0,100
20909,114,R,FL,8,POSEY,Bill,2,2,0,0,22
20910,114,R,FL,17,ROONEY,Thomas J.,3,0,3,0,22
21115,114,R,FL,11,NUGENT,Richard,3,0,3,0,22
21117,114,R,FL,15,ROSS,Dennis,2,0,2,0,22
21317,114,R,FL,3,YOHO,Ted,3,2,1,0,33
29331,114,R,FL,7,MICA,John L.,2,1,1,0,22
29337,114,D,FL,20,HASTINGS,Alcee Lamar,3,3,0,1,88
20321,114,D,GA,13,SCOTT,David,2,2,0,0,78
20506,114,R,GA,3,WESTMORELAND,Lynn A.,3,2,1,0,29
20712,114,D,GA,4,JOHNSON,Hank,2,0,2,0,89
20962,114,R,GA,14,GRAVES,Tom,3,2,1,0,22
21123,114,R,GA,8,SCOTT,Austin,2,1,1,0,22
21323,114,R,GA,9,COLLINS,Doug,3,1,2,0,22
21513,114,R,GA,1,CARTER,Buddy,3,0,3,0,22
21514,114,R,GA,10,HICE,Jody Brownlow,2,2,0,0,33
21515,114,R,GA,11,LOUDERMILK,Barry D.,3,1,2,0,22
21516,114,R,GA,12,ALLEN,Rick W.,4,3,1,0,22
29339,114,D,GA,2,BISHOP,"Sanford Dixon, Jr.",1,1,0,0,78
20954,114,D,IL,5,QUIGLEY,Mike,2,2,0,0,89
21328,114,R,IL,13,DAVIS,Rodney,3,1,2,0,22
21329,114,D,IL,17,BUSTOS,Cheri,3,0,3,1,100
21518,114,R,IL,10,DOLD,Robert,2,1,1,0,44
21519,114,R,IL,12,BOST,Mike,3,2,1,0,33
21562,114,R,IL,18,LaHOOD,Darin,3,0,3,0,14
29348,114,D,IL,4,GUTIÛRREZ,Luis V.,2,2,0,0,86
29717,114,D,IL,7,DAVIS,Danny K.,2,0,2,0,100
29718,114,R,IL,15,SHIMKUS,John M.,3,0,3,0,22
29911,114,D,IL,9,SCHAKOWSKY,Janice D.,3,2,1,1,100
15124,114,D,IN,1,VISCLOSKY,Peter,2,0,2,0,78
