name,member ID,*list contains female members who served 1970-present
Leonor Sullivan,S001057,
Edith Green,G000407,
Martha Griffiths,G000471,
Julia Hansen,H000174,
Patsy Mink,M000797,
Margaret Heckler,H000440,
Shirley Chisholm,C000371,
Bella Abzug,A000018,
Ella T. Grasso,G000387,
Yvonne Burke,B001102,
Marjorie Holt,H000747,
Elizabeth Holtzman,H000752,
Barbara Jordan,J000266,
Lindy Boggs,B000592,
Cardiss Collins,C000634,
Millicent Fenwick,F000078,
Martha Keys,K000162,
Marilyn Lloyd,L000381,
Virginia D. Smith,S000622,
Gladys Spellman,S000716,
Helen Stevenson-Meyner,M000685,
Shirley Pettis,P000273,
Barbara Mikulski,M000702,
Mary Oakar,O000001,
Beverly Byron,B001220,
Geraldine Ferraro,F000088,
Olympia Snowe,S000663,
Bobbi Fiedler,F000102,
Lynn Morley-Martin,M000195,
Marge Roukema,R000465,
Claudine Schneider,S000136,
Barbara B. Kennelly,K000118,
Jean Spencer-Ashbrook,A000220,
Katie Hall,H000058,
Barbara Boxer,B000711,
Nancy Johnson,J000163,
Marcy Kaptur,K000009,
Barbara Vucanovich,V000124,
Sala Burton,B001158,
Helen Delich-Bentley,B000392,
Jan Meyers,M000684,
Louise Slaughter,S000480,
Nancy Pelosi,P000197,
Nita Lowey,L000480,
Jolene Unsoeld,U000017,
Jill Long-Thompson,L000420,
Ileana Ros-Lehtinen,R000435,
Susan Molinari,M000843,
Barbara-Rose Collins,C000633,
Rosa DeLauro,D000216,
Eleanor Holmes-Norton,N000147,
Joan Horn,H000788,
Maxine Waters,W000187,
Eva M. Clayton,C000494,
Corrine Brown,B000911,
Leslie L. Byrne,B001213,
Maria Cantwell,C000127,
Pat Danner,D000046,
Jennifer Dunn,D000549,
Karan English,E000186,
Anna Eshoo,E000215,
Tillie K. Fowler,F000328,
Elizabeth Furse,F000434,
Jane Harman,H000213,
Eddie Johnson,J000126,
Blanche Lincoln,L000035,
Carolyn Maloney,M000087,
Marjorie Margolies-Mezvinsky,M000129,
Cynthia McKinney,M000523,
Carrie P. Meek,M000628,
Deborah Pryce,P000555,
Lucille Roybal-Allard,R000486,
Lynn Schenk,S000119,
Karen Shepherd,S000332,
Karen Thurman,T000253,
Nydia Velázquez,V000081,
Lynn Woolsey,W000738,
Helen Chenoweth,C000345,
Barbara Cubin,C000962,
Sheila Jackson-Lee,J000032,
Sue Kelly,K000078,
Zoe Lofgren,L000397,
Karen McCarthy,M000316,
Sue Myrick,M001134,
Lynn N. Rivers,R000281,
Andrea Seastrand,S000213,
Linda Smith,S000587,
Enid Greene Waldholtz,G000408,
Juanita Millender-McDonald,M000714,
Jo Ann Emerson,E000172,
Julia Carson,C000191,
Carolyn Cheeks-Kilpatrick,K000180,
Donna Christian-Christensen,C000380,
Diana DeGette,D000197,
Kay Granger,G000377,
Darlene Hooley,H000762,
Carolyn McCarthy,M000309,
Anne Northup,N000143,
Loretta Sánchez,S000030,
Debbie Stabenow,S000770,
Ellen Tauscher,T000057,
Lois Capps,C001036,
Mary Bono,B001228,
Barbara Lee,L000551,
Heather Wilson,W000789,
Tammy Baldwin,B001230,
Shelley Berkley,B001231,
Judy Biggert,B001232,
Grace Napolitano,N000179,
Stephanie Tubbs Jones,J000284,
Shelley Moore Capito,C001047,
Jo Ann Davis,D000597,
Susan Davis,D000598,
Melissa Hart,H001033,
Betty McCollum,M001143,
Hilda Solis,S001153,
Diane Watson,W000794,
Marsha Blackburn,B001243,
Madeleine Bordallo,B001245,
Ginny Brown-Waite,B001247,
Katherine Harris,H001035,
Denise Majette,M001145,
Candice Miller,M001150,
Marilyn Musgrave,M001152,
