congress,chamber,state,district,party,id,last_name,first_name,middle_name,nick_name,icpsr,born,died,nominate_dim1,nominate_dim2,female,ngirls,nboys,nchildren,high_confidence,aauw_voting,aauw_all,aauw_women_voting,aauw_women_all,anygirls
97,House,NY,7,D,A000052,Addabbo,Joseph,Patrick,NA,10500,1925,1986,-0.402,-0.084,0,2,0,2,1,100,100,100,100,1
97,House,HI,2,D,A000069,Akaka,Daniel,Kahikina,NA,14400,1924,NA,-0.419,0.273,0,1,4,5,1,78,78,100,100,0
97,House,MI,10,D,A000076,Albosta,Donald,Joseph,NA,14600,1925,2014,-0.258,0.294,0,1,1,2,1,75,67,0,0,0
97,House,AR,1,D,A000103,Alexander,William,Vollie,Bill,12000,1934,NA,-0.41,0.819,0,1,1,2,0,75,67,50,50,0
97,House,CA,32,D,A000189,Anderson,Glenn,Malcolm,NA,12001,1913,1994,-0.269,-0.052,0,0,2,2,1,78,78,50,50,0
97,House,NC,4,D,A000207,Andrews,Ike,Franklin,NA,14001,1925,2010,-0.178,0.481,0,2,0,2,1,75,67,50,50,1
97,House,IL,11,D,A000212,Annunzio,Frank,NA,NA,10703,1915,2001,-0.398,0.351,0,3,0,3,1,78,78,50,50,1
97,House,AR,4,D,A000213,Anthony,Beryl,Franklin,NA,14601,1938,NA,-0.254,0.484,0,0,1,1,0,75,67,50,50,0
97,House,OH,18,D,A000214,Applegate,Douglas,Earl,NA,14402,1928,NA,-0.106,0.166,0,1,1,2,0,56,56,0,0,0
97,House,TX,7,R,A000215,Archer,William,Reynolds,NA,13002,1928,NA,0.496,0.2,0,3,2,5,0,0,0,0,0,1
97,House,OH,17,R,A000221,Ashbrook,John,Milan,NA,10502,1928,1982,0.612,0.239,0,3,0,3,1,25,22,0,0,1
97,House,OH,17,R,A000220,Ashbrook,Jean,Spencer,NA,14878,1934,NA,0.702,0.152,1,3,0,3,0,NA,NA,NA,NA,1
97,House,PA,25,R,A000329,Atkinson,Eugene,Vincent,NA,94602,1927,2016,0.069,-0.186,0,1,1,2,1,56,56,0,0,0
97,House,OR,1,D,A000337,Aucoin,Les,NA,NA,14201,1942,NA,-0.231,-0.418,0,2,0,2,0,100,89,100,100,1
97,House,CA,40,R,B000024,Badham,Robert,Edward,NA,14403,1929,2005,0.541,0.084,0,3,2,5,0,22,22,0,0,1
97,House,FL,10,R,B000029,Bafalis,Louis,Arthur,Skip,14003,1929,NA,0.303,0.078,0,1,2,3,0,33,33,0,0,0
97,House,PA,21,D,B000037,Bailey,Donald,Allen,NA,14603,1945,NA,-0.347,0.573,0,0,1,1,1,67,67,50,50,0
97,House,MO,8,R,B000047,Bailey,R.,Wendell,NA,14800,1940,NA,0.47,-0.221,0,1,2,3,0,25,22,0,0,0
97,House,MD,8,D,B000160,Barnes,Michael,Darr,NA,14604,1943,NA,-0.343,-0.513,0,2,0,2,0,100,100,100,100,1
97,House,TN,6,R,B000280,Beard,Robin,Leo,NA,14004,1939,2007,0.297,0.34,0,1,2,3,1,40,22,0,0,0
97,House,IA,6,D,B000298,Bedell,Berkley,Warren,NA,14205,1921,NA,-0.24,-0.595,0,1,2,3,1,88,78,50,50,0
97,House,CA,23,D,B000318,Beilenson,Anthony,Charles,NA,14405,1932,NA,-0.44,-0.605,0,1,2,3,0,100,100,100,100,0
97,House,WV,2,R,B000358,Benedict,Cleveland,Keith,NA,14801,1935,NA,0.265,-0.054,0,1,2,3,0,44,44,0,0,0
97,House,FL,3,D,B000371,Bennett,Charles,Edward,NA,633,1910,2003,-0.088,0.421,0,1,2,3,1,67,67,50,50,0
97,House,NE,1,R,B000403,Bereuter,Douglas,Kent,NA,14605,1939,NA,0.231,-0.347,0,0,2,2,0,44,44,0,0,0
97,House,AR,2,R,B000422,Bethune,Edwin,Ruthvin,NA,14606,1935,NA,0.304,-0.165,0,1,1,2,0,38,33,0,0,0
97,House,AL,4,D,B000431,Bevill,Tom,NA,NA,11000,1921,2005,-0.213,0.976,0,0,1,1,0,56,56,0,0,0
97,House,NY,10,D,B000432,Biaggi,Mario,NA,NA,12003,1917,2015,-0.339,0.197,0,2,2,4,1,88,78,50,50,1
97,House,NY,22,D,B000472,Bingham,Jonathan,Brewster,NA,10705,1914,1986,-0.509,-0.488,0,3,1,4,0,100,100,100,100,1
97,House,VA,3,R,B000556,Bliley,Thomas,Jerome,NA,14802,1932,NA,0.382,-0.13,0,1,1,2,0,33,33,0,0,0
97,House,LA,2,D,B000592,Boggs,Corinne,Claiborne,Lindy,14067,1916,2013,-0.359,0.501,1,2,1,3,0,78,78,50,50,1
