"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000014","Neil","Abercrombie",,"Neil","Abercrombie",,,,,,"1938",,"[{""position"":""Representative"",""congressNumber"":99,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""]}]"
"A000359","Anibal","Acevedo Vila",,"Anibal","Acevedo Vila",,,,,,"1962",,"[{""position"":""Resident Commissioner"",""congressNumber"":107,""stateName"":""PR"",""parties"":[""Popular Democrat""]},{""position"":""Resident Commissioner"",""congressNumber"":108,""stateName"":""PR"",""parties"":[""Popular Democrat""]}]"
"A000022","Gary","Ackerman","Leonard","Gary","Ackerman","Leonard",,,,,"1942",,"[{""position"":""Representative"",""congressNumber"":98,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NY"",""parties"":[""Democrat""]}]"
"A000055","Robert","Aderholt",,"Robert","Aderholt",,,,,,"1965",,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""AL"",""stateDistrict"":4,""parties"":[""Republican""],""electionCirca"":false}]"
"A000069","Daniel","Akaka","Kahikina","Daniel","Akaka","Kahikina",,,,,"1924","2018","[{""position"":""Representative"",""congressNumber"":95,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false}]"
"A000358","W.","Akin","Todd","W.","Akin","Todd",,,,,"1947",,"[{""position"":""Representative"",""congressNumber"":107,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""MO"",""parties"":[""Republican""]}]"
"A000109","A.","Allard","Wayne","A.","Allard","Wayne",,,,,"1943",,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""CO"",""parties"":[""Republican""]}]"
"A000357","Thomas","Allen","H.","Thomas","Allen","H.",,,,,"1945",,"[{""position"":""Representative"",""congressNumber"":105,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""ME"",""parties"":[""Democrat""]}]"
"A000121","George","Allen",,"George","Allen",,,,,,"1952",,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""VA"",""parties"":[""Republican""]}]"
"A000210","Robert","Andrews","Ernest","Robert","Andrews","Ernest",,,,,"1957",,"[{""position"":""Representative"",""congressNumber"":101,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""NJ"",""parties"":[""Democrat""]}]"
