state,office,name,party,rating,congress
AK,U.S. Senate - Sr,Lisa Murkowski,Republican,14%,116
AK,U.S. Senate - Jr,Dan Sullivan,Republican,14%,116
AK,U.S. House - At-Large,Donald Young,Republican,17%,116
AL,U.S. Senate - Sr,Richard Shelby,Republican,0%,116
AL,U.S. House - 3,Mike Rogers,Republican,14%,116
AL,U.S. House - 4,Robert Aderholt,Republican,0%,116
AL,U.S. House - 5,Mo Brooks,Republican,0%,116
AL,U.S. House - 6,Gary Palmer,Republican,0%,116
AL,U.S. House - 7,Terri Sewell,Democratic,86%,116
AR,U.S. Senate - Sr,John Boozman,Republican,0%,116
AR,U.S. Senate - Jr,Tom Cotton,Republican,0%,116
AR,U.S. House - 1,Rick Crawford,Republican,0%,116
AR,U.S. House - 2,French Hill,Republican,14%,116
AR,U.S. House - 3,Steve Womack,Republican,14%,116
AR,U.S. House - 4,Bruce Westerman,Republican,17%,116
AS,U.S. House - Delegate,Aumua Amata Radewagen,Republican,0%,116
AZ,U.S. Senate - Sr,Kyrsten Sinema,Democratic,57%,116
AZ,U.S. House - 1,Tom O'Halleran,Democratic,71%,116
AZ,U.S. House - 2,Ann Kirkpatrick,Democratic,100%,116
AZ,U.S. House - 3,Raul Grijalva,Democratic,100%,116
AZ,U.S. House - 4,Paul Gosar,Republican,0%,116
AZ,U.S. House - 5,Andy Biggs,Republican,0%,116
AZ,U.S. House - 6,David Schweikert,Republican,0%,116
AZ,U.S. House - 7,Ruben Gallego,Democratic,100%,116
AZ,U.S. House - 8,Debbie Lesko,Republican,0%,116
AZ,U.S. House - 9,Greg Stanton,Democratic,86%,116
CA,U.S. Senate - Sr,Dianne Feinstein,Democratic,71%,116
CA,U.S. House - 1,Doug LaMalfa,Republican,0%,116
CA,U.S. House - 2,Jared Huffman,Democratic,100%,116
CA,U.S. House - 3,John Garamendi,Democratic,86%,116
CA,U.S. House - 4,Tom McClintock,Republican,0%,116
CA,U.S. House - 5,Mike Thompson,Democratic,86%,116
CA,U.S. House - 6,Doris Matsui,Democratic,100%,116
CA,U.S. House - 7,Ami Bera,Democratic,86%,116
CA,U.S. House - 9,Jerry McNerney,Democratic,86%,116
CA,U.S. House - 10,Josh Harder,Democratic,100%,116
CA,U.S. House - 11,Mark DeSaulnier,Democratic,100%,116
CA,U.S. House - 12,Nancy Pelosi,Democratic,67%,116
CA,U.S. House - 13,Barbara Lee,Democratic,100%,116
CA,U.S. House - 14,Jackie Speier,Democratic,100%,116
CA,U.S. House - 15,Eric Swalwell,Democratic,83%,116
CA,U.S. House - 16,Jim Costa,Democratic,71%,116
CA,U.S. House - 17,Ro Khanna,Democratic,100%,116
CA,U.S. House - 18,Anna Eshoo,Democratic,100%,116
CA,U.S. House - 19,Zoe Lofgren,Democratic,100%,116
CA,U.S. House - 20,Jimmy Panetta,Democratic,86%,116
CA,U.S. House - 22,Devin Nunes,Republican,0%,116
CA,U.S. House - 23,Kevin McCarthy,Republican,14%,116
CA,U.S. House - 24,Salud Carbajal,Democratic,100%,116
CA,U.S. House - 25,Mike Garcia,Republican,0%,116
CA,U.S. House - 26,Julia Brownley,Democratic,100%,116
CA,U.S. House - 27,Judy Chu,Democratic,100%,116
CA,U.S. House - 28,Adam Schiff,Democratic,86%,116
CA,U.S. House - 29,Tony Cárdenas,Democratic,100%,116
CA,U.S. House - 30,Brad Sherman,Democratic,86%,116
CA,U.S. House - 31,Pete Aguilar,Democratic,86%,116
CA,U.S. House - 32,Grace Napolitano,Democratic,100%,116
CA,U.S. House - 33,Ted Lieu,Democratic,100%,116
CA,U.S. House - 34,Jimmy Gomez,Democratic,86%,116
CA,U.S. House - 35,Norma Torres,Democratic,86%,116
